time,lat,lon,depth,east_shift,north_shift,distance_border,semblance,azimuthal_coverage,n_stations,n_picks,uncertainty_horizontal,uncertainty_vertical,WKT_geom
2024-06-01 00:01:50.500000+00:00,50.020829,11.970901,4.82,-27084.22,-22077.96,10906.25,0.1515282541513443,104.89268901396477,23,2,1356.7683341307757,593.75,POINT Z(11.970900542006708 50.02082943166146 -4.816549958821996)
2024-06-01 00:27:23.110000+00:00,49.951884,12.060215,13044.11,-20733.04,-29772.87,6968.75,0.1563289314508438,51.88314004759059,26,3,1001.9512213675873,875.0,POINT Z(12.060215100169444 49.95188420527571 -13044.114592664942)
2024-06-01 00:59:49.550000+00:00,49.851917,12.005125,1679.0,-24725.75,-40871.86,9093.75,0.10430464893579483,0.0,26,1,1471.0752869924775,2500.0,POINT Z(12.005125306081565 49.85191718002592 -1678.9960082905907)
2024-06-01 01:13:57.730000+00:00,49.933057,12.073865,13693.29,-19764.18,-31870.09,6281.25,0.13281221687793732,102.44337129818808,26,2,1231.107225224513,937.5,POINT Z(12.073864924399263 49.933056655480165 -13693.289889971928)
2024-06-01 01:32:09.010000+00:00,50.547801,12.504182,869.93,10894.12,36461.06,13531.25,0.1383129060268402,0.0,26,2,197.64235376052372,2750.0,POINT Z(12.504182321474357 50.54780068529938 -869.9316356669882)
2024-06-01 02:26:48.390000+00:00,50.264529,12.301121,501.87,-3474.33,4952.58,19468.75,0.15597787499427795,175.85182021805556,26,4,760.98722886787,1562.5,POINT Z(12.301121320691763 50.26452938316006 -501.86877099298897)
2024-06-01 03:28:54.870000+00:00,49.863942,12.147413,2193.75,-14520.9,-39572.15,10406.25,0.14762769639492035,0.0,26,1,1337.5584099395435,4750.0,POINT Z(12.147412525150104 49.86394197865337 -2193.75048437555)
2024-06-01 03:48:00.360000+00:00,49.83938,11.980085,11623.12,-26527.87,-42257.3,7718.75,0.1667606234550476,0.0,26,1,1383.849364092783,1781.25,POINT Z(11.980085213023521 49.83938022899759 -11623.118891186945)
2024-06-01 04:02:21.600000+00:00,49.81,12.18495,264.1,-11843.57,-45576.82,4406.25,0.1307872086763382,0.0,25,1,1257.7882373436316,1687.5,POINT Z(12.184949718665656 49.81000015281907 -264.1021577057048)
2024-06-01 04:09:39.350000+00:00,49.957863,12.05077,889.22,-21406.16,-29105.44,16593.75,0.14302513003349304,0.0,25,2,132.58252147247765,1968.75,POINT Z(12.050769672010277 49.95786263937741 -889.2219275528055)
2024-06-01 04:15:48.010000+00:00,49.824436,12.167986,2223.78,-13056.91,-43968.82,6031.25,0.21386060118675232,0.0,26,2,1112.7808634228036,4937.5,POINT Z(12.167986387492338 49.824435843356994 -2223.7821390055237)
2024-06-01 04:24:45.750000+00:00,50.607899,12.687209,1932.95,23795.93,43186.31,6843.75,0.13119074702262878,113.39772024159254,26,2,3781.7664936508177,4500.0,POINT Z(12.6872091754952 50.607898980998485 -1932.9461367567037)
2024-06-01 04:36:31.820000+00:00,49.827006,11.913526,2602.68,-31309.0,-43607.43,6406.25,0.1740226298570633,42.597069544196984,26,3,565.9615711335886,3500.0,POINT Z(11.913526482291365 49.82700630371049 -2602.682506213636)
2024-06-01 04:48:30.150000+00:00,49.821407,12.17021,7490.2,-12898.22,-44306.05,5656.25,0.14033932983875275,158.17248687855854,26,3,2664.8757006659803,2500.0,POINT Z(12.17020976901256 49.8214065114659 -7490.20329107218)
2024-06-01 04:58:32.610000+00:00,50.245294,12.32269,74.11,-1941.98,2812.87,19906.25,0.2785707712173462,1.4084529476122611,26,3,438.6146514880687,156.25,POINT Z(12.322690229945243 50.24529358569564 -74.11084410003131)
2024-06-01 05:09:14.630000+00:00,49.794847,11.911002,127.61,-31511.05,-47182.29,2843.75,0.17963409423828125,50.44468293478582,25,2,18792.140145550213,1718.75,POINT Z(11.911002126274797 49.794846858057454 -127.60846700948295)
2024-06-01 05:09:43.060000+00:00,49.826555,12.166798,1302.72,-13141.62,-43732.98,6281.25,0.1991174966096878,11.59532963023554,25,4,850.0919067959652,2125.0,POINT Z(12.166797506860132 49.82655494327321 -1302.7226510958237)
2024-06-01 05:23:14.240000+00:00,49.873598,12.134711,221.74,-15428.19,-38495.9,11531.25,0.18025913834571838,0.0,26,2,407.45015032516557,2968.75,POINT Z(12.134711393970338 49.87359806257063 -221.73533968835116)
2024-06-01 05:32:48.720000+00:00,49.84447,11.908961,6415.58,-31625.05,-41663.71,6343.75,0.18466266989707947,29.724819759474656,26,3,332.19205664795777,2500.0,POINT Z(11.9089609753538 49.8444695430966 -6415.578920351442)
2024-06-01 05:36:38.910000+00:00,50.009359,12.069314,-31.85,-20058.02,-23384.5,17906.25,0.19801409542560577,0.0,26,2,11816.632874892915,13468.75,POINT Z(12.069314404143377 50.00935892570454 31.849261433004926)
2024-06-01 05:37:34.740000+00:00,49.884272,11.972221,11788.11,-27066.65,-37262.77,8218.75,0.1933143436908722,115.01794876023098,26,4,10763.118812059078,12500.0,POINT Z(11.972220700503652 49.88427218192388 -11788.108356797431)
2024-06-01 05:39:42.050000+00:00,49.903174,12.028318,2529.53,-23038.42,-35179.86,14781.25,0.22519312798976898,98.48112325609793,26,3,3938.615913300001,10000.0,POINT Z(12.028318459610205 49.903173631596566 -2529.5325234506836)
2024-06-01 06:04:53.860000+00:00,49.846589,12.157406,3340.86,-13809.55,-41503.66,8468.75,0.1430208384990692,132.2957423139746,25,3,475.98581911649427,2250.0,POINT Z(12.157406107885443 49.846588511374996 -3340.860405385395)
2024-06-01 06:16:30.890000+00:00,49.887088,12.180442,2101.43,-12147.58,-37004.29,13031.25,0.1782810539007187,77.85690048295669,26,2,11662.07126757507,5375.0,POINT Z(12.180442404948597 49.88708835940455 -2101.430349309401)
2024-06-01 06:18:55.470000+00:00,49.874077,12.021548,4187.07,-23537.53,-38413.13,11593.75,0.1966627836227417,80.02408321165603,26,2,139.75424859373686,2375.0,POINT Z(12.021547815364437 49.874076962518195 -4187.06890542444)
2024-06-01 06:24:36.970000+00:00,49.856645,12.188096,2425.79,-11606.6,-40390.64,9593.75,0.23041898012161255,64.0773382469618,26,3,88.38834764831844,1437.5,POINT Z(12.188095789699407 49.85664510417384 -2425.785081757168)
2024-06-01 07:03:21.430000+00:00,50.219306,12.423296,-12.42,5214.9,-74.61,19968.75,0.20841385424137115,196.46300375427214,26,5,475.98581911649427,1218.75,POINT Z(12.42329636030981 50.21930596200549 12.421194972408955)
2024-06-01 07:08:20.860000+00:00,50.612754,12.680223,-3.7,23300.55,43723.93,6218.75,0.11668568849563599,0.0,26,2,1355.6882477177414,1656.25,POINT Z(12.680223238779357 50.61275375122888 3.700988277350781)
2024-06-01 07:37:06.600000+00:00,49.830201,12.06003,4684.19,-20798.78,-43303.3,6656.25,0.21521103382110596,63.760600988551005,26,4,128.8470508005519,625.0,POINT Z(12.060029514542228 49.83020101546521 -4684.185798228908)
2024-06-01 07:45:56.480000+00:00,49.830539,12.165508,4118.5,-13233.04,-43289.69,6718.75,0.24913349747657776,0.0,26,2,400.19526483955303,2125.0,POINT Z(12.16550777023806 49.8305394732346 -4118.501848117632)
2024-06-01 07:48:06.280000+00:00,49.830712,12.212467,1747.83,-9864.81,-43277.78,6718.75,0.24911834299564362,24.444115786204293,26,3,139.75424859373686,3000.0,POINT Z(12.212466561418243 49.83071190476821 -1747.8296813946067)
2024-06-01 07:48:29.460000+00:00,49.993172,12.015996,3617.01,-23876.2,-25168.68,14156.25,0.24314531683921814,52.04669292660947,26,3,98.82117688026186,1750.0,POINT Z(12.01599619594996 49.993172209449035 -3617.0081313956275)
