network,station,location,latitude,longitude,elevation,depth,WKT_geom
6A,LWSA2,00,50.25804,12.328452,617.15,3.0,POINT Z(12.328452 50.25804 614.15)
6A,LWS00,70,50.258014,12.328517,617.82,372.1000000000001,POINT Z(12.328517 50.258014 245.71999999999997)
6A,LWS00,90,50.258014,12.328517,617.82,400.0,POINT Z(12.328517 50.258014 217.82000000000005)
CZ,NKC,,50.2331,12.447899999999999,564.0,0.0,POINT Z(12.447899999999999 50.2331 564.0)
GX,STC00,35,50.258053999999994,12.518527999999998,688.0,353.0,POINT Z(12.518527999999998 50.258053999999994 335.0)
GX,TIS00,33,50.350277,12.497441,700.0,331.0,POINT Z(12.497441 50.350277 369.0)
SX,MOBS7,,50.41433,12.531910000000002,750.0,0.0,POINT Z(12.531910000000002 50.41433 750.0)
SX,MOBS8,,50.42344,12.59578,906.0,0.0,POINT Z(12.59578 50.42344 906.0)
SX,BURZL,,51.43052,12.81501,214.0,0.0,POINT Z(12.81501 51.43052 214.0)
SX,FROHN,00,50.59483,12.98856,483.0,82.0,POINT Z(12.98856 50.59483 401.0)
SX,GUNZ,,50.36350000000001,12.3316,669.0,0.0,POINT Z(12.3316 50.36350000000001 669.0)
SX,LEUT,,50.6072,12.523090000000002,411.0,0.0,POINT Z(12.523090000000002 50.6072 411.0)
SX,MEINS,,50.73247,12.88118,501.0,0.0,POINT Z(12.88118 50.73247 501.0)
SX,MULD,,50.4118,12.4039,693.0,0.0,POINT Z(12.4039 50.4118 693.0)
SX,NEUB,,51.1942,11.7719,200.0,0.0,POINT Z(11.7719 51.1942 200.0)
SX,ROHR,,50.234,12.317,629.0,0.0,POINT Z(12.317 50.234 629.0)
SX,SCHF,,50.6772,12.4031,384.0,0.0,POINT Z(12.4031 50.6772 384.0)
SX,TANN,,50.415,12.461,836.0,34.0,POINT Z(12.461 50.415 802.0)
SX,TRIB,,50.352,12.137,510.0,0.0,POINT Z(12.137 50.352 510.0)
SX,WERD,,50.448,12.307,596.0,0.0,POINT Z(12.307 50.448 596.0)
SX,WERN,,50.2874,12.3761,672.0,0.0,POINT Z(12.3761 50.2874 672.0)
TH,ABG1,,50.96532,12.57208,247.0,0.0,POINT Z(12.57208 50.96532 247.0)
TH,ANNA,,50.883990000000004,12.64365,249.0,0.0,POINT Z(12.64365 50.883990000000004 249.0)
TH,FRAU,,50.69544,12.31685,362.0,0.0,POINT Z(12.31685 50.69544 362.0)
TH,GEIDO,,50.7353,12.1999,346.0,0.0,POINT Z(12.1999 50.7353 346.0)
TH,GERA,,50.98203,12.0715,277.0,0.0,POINT Z(12.0715 50.98203 277.0)
TH,GRZ1,,50.6908,12.21964,401.0,0.0,POINT Z(12.21964 50.6908 401.0)
TH,HKWD,,50.8297,12.26811,313.0,0.0,POINT Z(12.26811 50.8297 313.0)
TH,KAMM,,51.04760000000001,12.43147,179.0,0.0,POINT Z(12.43147 51.04760000000001 179.0)
TH,LEIB1,,50.576069999999994,11.1978,451.0,0.0,POINT Z(11.1978 50.576069999999994 451.0)
TH,MLFH,,50.78982,12.080909999999998,220.0,0.0,POINT Z(12.080909999999998 50.78982 220.0)
TH,MODW,,50.94269,12.46844,242.0,0.0,POINT Z(12.46844 50.94269 242.0)
TH,MORAS,,50.53608,11.2247,618.0,0.0,POINT Z(11.2247 50.53608 618.0)
TH,MOXB,01,50.64523,11.614470000000003,409.0,50.0,POINT Z(11.614470000000003 50.64523 359.0)
TH,PLN,,50.4852,12.1573,432.0,0.0,POINT Z(12.1573 50.4852 432.0)
TH,RANIS,,50.66236,11.56432,383.0,0.0,POINT Z(11.56432 50.66236 383.0)
TH,TAUT,,50.98161000000001,11.71074,331.0,0.0,POINT Z(11.71074 50.98161000000001 331.0)
TH,TIER,,50.45468,11.167210000000003,698.0,37.0,POINT Z(11.167210000000003 50.45468 661.0)
TH,ZEITZ,,51.0507,12.12605,158.0,0.0,POINT Z(12.12605 51.0507 158.0)
TH,ZEU,,50.67064,11.97713,331.0,0.0,POINT Z(11.97713 50.67064 331.0)
GQ,LNDWU,,50.25793000000001,12.329010000000002,630.0,0.0,POINT Z(12.329010000000002 50.25793000000001 630.0)
BW,MANZ,,49.986198,12.1083,635.0,0.0,POINT Z(12.1083 49.986198 635.0)
BW,MSBB,,50.031429,11.972771,622.0,0.0,POINT Z(11.972771 50.031429 622.0)
BW,MZEK,,49.962593,11.947430000000002,627.0,0.0,POINT Z(11.947430000000002 49.962593 627.0)
BW,MGBB,,49.971962,12.214974,650.0,0.0,POINT Z(12.214974 49.971962 650.0)
BW,LAEN,,50.18281199999999,12.185856,675.0,0.0,POINT Z(12.185856 50.18281199999999 675.0)
BW,MROB,,50.083145,12.178588,570.0,0.0,POINT Z(12.178588 50.083145 570.0)
BW,ROTZ,,49.766899,12.207,430.0,0.0,POINT Z(12.207 49.766899 430.0)
BW,MKON,,50.018634999999996,12.23383,614.0,0.0,POINT Z(12.23383 50.018634999999996 614.0)
WB,BUBD,,50.381739,12.513619,745.7000000000002,0.0,POINT Z(12.513619 50.381739 745.7000000000002)
WB,HOPD,,50.223778,12.265472,731.0,0.0,POINT Z(12.265472 50.223778 731.0)
WB,HORC,,50.18598,12.491,500.0,0.0,POINT Z(12.491 50.18598 500.0)
WB,JOC,,50.2115,12.5484,510.0,0.0,POINT Z(12.5484 50.2115 510.0)
WB,KOC,,50.26416700000001,12.232878,621.0,0.0,POINT Z(12.232878 50.26416700000001 621.0)
WB,KOPD,,50.20319,12.47473,536.0,0.0,POINT Z(12.47473 50.20319 536.0)
WB,KRC,,50.330692,12.5295,806.0,0.0,POINT Z(12.5295 50.330692 806.0)
WB,KVC,,50.204956,12.511339999999999,666.0,0.0,POINT Z(12.511339999999999 50.204956 666.0)
WB,LAC,,50.04967200000001,12.623960000000002,806.0,0.0,POINT Z(12.623960000000002 50.04967200000001 806.0)
WB,LBC,,50.264608,12.411233000000001,684.0,0.0,POINT Z(12.411233000000001 50.264608 684.0)
